forecast_generated_at,forecast_hour,horizon_hours,model_name,predicted_avg_total_fee,actual_avg_total_fee,error,absolute_error,pct_error,last_observed_fee,persistence_pred,persistence_absolute_error,direction_correct,actual_is_capped
2026-05-31T07:40:46Z,2026-05-31T06:00:00Z,1,rolling_mean_6h,492537.6385330197,484021.1837,8516.4548330197,8516.4548330197,1.7595210953201303,437713.6842105263,437713.6842105263,46307.4994894737,True,0
2026-05-31T07:40:46Z,2026-05-31T07:00:00Z,2,rolling_mean_6h,493875.716860184,466026.8855,27848.831360184005,27848.831360184005,5.975799299713151,437713.6842105263,437713.6842105263,28313.201289473684,True,0
2026-05-31T07:40:46Z,2026-05-31T08:00:00Z,3,rolling_mean_6h,495425.536969298,528099.2488,-32673.71183070197,32673.71183070197,6.187040012828357,437713.6842105263,437713.6842105263,90385.56458947365,True,0
2026-05-31T07:40:46Z,2026-05-31T09:00:00Z,4,rolling_mean_6h,495722.6248983662,487609.2226,8113.4022983662435,8113.4022983662435,1.6639148568815942,437713.6842105263,437713.6842105263,49895.53838947369,True,0
2026-05-31T07:40:46Z,2026-05-31T10:00:00Z,5,rolling_mean_6h,479608.8220713498,514571.3698,-34962.547728650214,34962.547728650214,6.794499224128854,437713.6842105263,437713.6842105263,76857.6855894737,True,0
2026-05-31T07:40:46Z,2026-05-31T11:00:00Z,6,rolling_mean_6h,482480.6705904573,462526.7849,19953.885690457246,19953.885690457246,4.3141038188245355,437713.6842105263,437713.6842105263,24813.100689473737,True,0
2026-05-31T07:40:46Z,2026-05-31T12:00:00Z,7,rolling_mean_6h,489941.83498711255,489979.3343,-37.499312887433916,37.499312887433916,0.007653243772210644,437713.6842105263,437713.6842105263,52265.6500894737,True,0
2026-05-31T07:40:46Z,2026-05-31T13:00:00Z,8,rolling_mean_6h,489509.2010627946,487514.1861,1995.0149627946084,1995.0149627946084,0.409221930289714,437713.6842105263,437713.6842105263,49800.5018894737,True,0
2026-05-31T07:40:46Z,2026-05-31T14:00:00Z,9,rolling_mean_6h,488781.4484298965,517391.3268,-28609.878370103484,28609.878370103484,5.529640117288392,437713.6842105263,437713.6842105263,79677.64258947369,True,0
2026-05-31T07:40:46Z,2026-05-31T15:00:00Z,10,rolling_mean_6h,487674.10033999616,489388.1761,-1714.0757600038196,1714.0757600038196,0.35024870720488577,437713.6842105263,437713.6842105263,51674.49188947369,True,0
2026-05-31T07:40:46Z,2026-05-31T16:00:00Z,11,rolling_mean_6h,486332.67958026775,512548.2517,-26215.57211973227,26215.57211973227,5.114752032180675,437713.6842105263,437713.6842105263,74834.56748947373,True,0
2026-05-31T07:40:46Z,2026-05-31T17:00:00Z,12,rolling_mean_6h,487453.3224984207,480701.7419,6751.580598420696,6751.580598420696,1.4045259273941266,437713.6842105263,437713.6842105263,42988.05768947373,True,0
2026-05-31T07:40:46Z,2026-05-31T18:00:00Z,13,rolling_mean_6h,488282.0978164147,458465.1014,29816.99641641474,29816.99641641474,6.503656728803032,437713.6842105263,437713.6842105263,20751.417189473694,True,0
2026-05-31T07:40:46Z,2026-05-31T19:00:00Z,14,rolling_mean_6h,488005.4749546317,463718.5756,24286.89935463172,24286.89935463172,5.237422141911652,437713.6842105263,437713.6842105263,26004.89138947369,True,0
2026-05-31T07:40:46Z,2026-05-31T20:00:00Z,15,rolling_mean_6h,487754.85393660463,463825.4057,23929.44823660463,23929.44823660463,5.159149960854468,437713.6842105263,437713.6842105263,26111.72148947371,True,0
2026-05-31T07:40:46Z,2026-05-31T21:00:00Z,16,rolling_mean_6h,487583.7548543893,430739.1272,56844.627654389304,56844.627654389304,13.196996526390627,437713.6842105263,437713.6842105263,6974.557010526303,False,0
2026-05-31T07:40:46Z,2026-05-31T22:00:00Z,17,rolling_mean_6h,487568.6972734548,462518.8213,25049.875973454793,25049.875973454793,5.4159689984176635,437713.6842105263,437713.6842105263,24805.13708947372,True,0
2026-05-31T07:40:46Z,2026-05-31T23:00:00Z,18,rolling_mean_6h,487774.7002223193,490709.061,-2934.360777680704,2934.360777680704,0.5979838178860741,437713.6842105263,437713.6842105263,52995.376789473696,True,0
2026-05-31T07:40:46Z,2026-06-01T00:00:00Z,19,rolling_mean_6h,487828.2631763024,474278.2775,13549.9856763024,13549.9856763024,2.8569694879821688,437713.6842105263,437713.6842105263,36564.593289473734,True,1
2026-05-31T07:40:46Z,2026-06-01T01:00:00Z,20,rolling_mean_6h,487752.6240696171,462301.3002,25451.323869617074,25451.323869617074,5.5053541615838775,437713.6842105263,437713.6842105263,24587.615989473707,True,1
