mae,rmse,r2,mape,directional_accuracy,model_name,model_type,target_transform,alpha,train_rows,test_rows,max_depth,n_estimators,learning_rate,min_samples_leaf
61286.053015115074,107505.86620174184,0.45321710060665077,10.610818552157767,0.0,persistence,naive,none,0.0,1224,307,,,,
70317.46599045923,114115.98261541071,0.3839108699365965,12.257176252926538,0.6482084690553745,ridge_alpha_100,ridge_regression,none,100.0,1224,307,,,,
65247.51041067061,115768.04527576403,0.3659434420075206,11.29860045214069,0.6612377850162866,rolling_mean_6h,naive,none,0.0,1224,307,,,,
71247.49686846683,123649.01759597806,0.27667756032866986,11.92709743434015,0.6449511400651465,ridge_alpha_10,ridge_regression,none,10.0,1224,307,,,,
75677.66033052167,130301.15763327156,0.1967566360057652,12.5900304935998,0.6514657980456026,ridge_alpha_1,ridge_regression,none,1.0,1224,307,,,,
72616.38296205313,131582.14434946523,0.18088568202659328,11.494292787069698,0.6514657980456026,ridge_alpha_100_log1p_target,ridge_regression,log1p,100.0,1224,307,,,,
73509.16319073015,135622.86132152088,0.12980536082046967,11.337408001845805,0.6710097719869706,ridge_alpha_10_log1p_target,ridge_regression,log1p,10.0,1224,307,,,,
76875.92518937518,144637.87386422412,0.010274735839300164,11.659789293549384,0.6644951140065146,ridge_alpha_1_log1p_target,ridge_regression,log1p,1.0,1224,307,,,,
110260.02442083445,162887.1803227291,-0.25523317535688705,20.53373642696425,0.5602605863192183,gradient_boosted_stumps_200_lr_0_03,gradient_boosted_regression_trees,none,0.0,1224,307,1.0,200.0,0.03,20.0
114564.61448534323,166679.79483105417,-0.3143665938309661,21.44133300431496,0.5570032573289903,gradient_boosted_stumps_100_lr_0_05,gradient_boosted_regression_trees,none,0.0,1224,307,1.0,100.0,0.05,20.0
78974.80322230283,177769.425319359,-0.4950810434407973,12.47475220364051,0.6579804560260586,gradient_boosted_trees_depth_3_50_lr_0_1,gradient_boosted_regression_trees,none,0.0,1224,307,3.0,50.0,0.1,20.0
116516.20335902776,194213.4738379586,-0.7844702455999513,19.493591057202888,0.5765472312703583,seasonal_naive_24h,naive,none,0.0,1224,307,,,,
182320.83745567885,219982.04402110976,-1.2894178481929885,35.45605029133294,0.501628664495114,gradient_boosted_stumps_50_lr_0_05,gradient_boosted_regression_trees,none,0.0,1224,307,1.0,50.0,0.05,20.0
